id,username,text,label
1,akhmad Zubaeri,Repot .!untuk orang miskin kayak saya yang kerjanya serabutan.....,negatif
2,Amin Udin,Stiap desa kasih relawan dan alat tes .pak agar semua ttp aman.. ,positif
3,Amin Udin,kesadaran masyarakat yang rendah tapi yg di salahkan malah pemerintah hadehh,negatif
4,Amin Udin,semangat terus pak jokowi,netral
5,Amin Udin,pengen hidup normal lagi,netral
6,Sarip sarip,"Lockdown cepat, lambat banget kerjanya pemerintah",negatif
7,riza alkaff,"Sampean kurang cepet pakde., kurang tegas.",negatif
8,sekti tv,"Yg positif corona yg sakit corona mereka disendirikan di pulau pulau khusus corona ,se indonesia kalau sakit corona langsung dibawa ditaruh di pulau itu sehingga, dengan demikian virus sulit menular ke orang",netral
9,Choiriyah official,"Nasib gue gimana kalo kaga reda "" nih virus  kaga kerja kaga makan gue",negatif
10,Tanto Son,Strategi yang GAGAL,negatif
11,168 Always,Biaya pengobatan Corona di seluruh Indonesia apakah gratis? Karena di YouTube ada beberapa komentar saya lihat katanya bayar ruang isolasi sendiri dll?,netral
12,Srg MV,"Saya harap pemerintah menutup tempat seperti mall , tol, pelabuhan .",positif
13,Srg MV,ayo dong rakyat indonesia kerja sama dengan pemerintah biar cepat selesai ini covid,positif
14,Hudi Prayetno,ma'ruf amin mana..?? kok gak nampak turun di lapangan gak kyak jusuf kalla dulu klo ada bencana langsung turun ke lapangan memberikan arahan dan bantuan. h,negatif
15,Dipo Sakti,"Tolong yang terkait
Stop turis asing dari China dan memulangkan turis asing dari China yang sudah terlanjur masuk Indonesia demi keamanan nasional NKRI",positif
16,Misbah Muhammd,gue  gak percaya sama virus corona hahaha,negatif
17,Ucok tato Ucok,"Promosikan aja terus priwisata kasih diskon besar2 , biar masuk semua virus ke indo",negatif
18,Irna Wansasi,"Maaf nak tanya , wakil presiden kita mna ya , kok tak pernah nampak pun",netral
19,Lutfi Mugiwara,semoga gak ada yg jadi kan film penghuni wisma atlit,netral
20,Bambang Sutedjo,"Seharusnya untuk mengatasi  penularan CoVID 19 CORONA marilah kita menggunakan pikiran LOGIKA NYATA lebih dulu dan menomor duakan  pikiran RELiGIUS kemudian , agar supaya penanganan  menghindari penularan virus Corona bisa berjalan EFEKTIF lebih cepat, ",positif
21,Dwi Heru Prasetyo,"Judulnya full strategi atasi, bukan full strategi mencegah...",netral
22,Keep Strong For J,Ceritanya kita lagi lockdown nih?,netral
23,Shall 1245,"Lekas membaik negeriku,",netral
24,Ryan,"Sudah ada HIMBAUAN dari pemerintah dan kepolisian jangan ada yang keluar rumah, kumpul kumpul dan nongkrong ga jelas tapi masyarakat nya KERAS KEPALA. Manusia kaya gitu seret aja ke rumah sakit supaya mengurangi PASIEN POSITIF CORONA",positif
25,Gunawan Wibisono,Ngomong apa sih.... Masukan terus aja lho tka cina biar ada pendapatan buat negara......,negatif
26,pakde LHIEMBONK LHIEMBONK,dekat dengan ALLAH.. dan banyak bersedekah. corona akan segan sm kita..,netral
27,Wahyu Utama,Stop aja orang luar ke indonesia ,positif
28,Ony pramudya,Tutup pak presiden penerbangan dr luar negeri .,positif
29,ABENA,"jangan takut sama Corona, kita hanya di bodohi pemerintah",negatif
