id,username,text,text_clean,label
1,akhmad Zubaeri,Repot .!untuk orang miskin kayak saya yang kerjanya serabutan.....,repot orang miskin kerja serabutan,negatif
2,Amin Udin,Stiap desa kasih relawan dan alat tes .pak agar semua ttp aman.. ,tiap desa kasih rawan alat tes pak semua tetap aman,positif
3,Amin Udin,kesadaran masyarakat yang rendah tapi yg di salahkan malah pemerintah hadehh,sadar masyarakat rendah salah malah pemerintah aduh,negatif
4,Amin Udin,semangat terus pak jokowi,semangat pak jokowi,netral
5,Amin Udin,pengen hidup normal lagi,ingin hidup normal,netral
6,Sarip sarip,"Lockdown cepat, lambat banget kerjanya pemerintah",lockdown cepat lambat kerja pemerintah,negatif
7,riza alkaff,"Sampean kurang cepet pakde., kurang tegas.",kurang cepat jokowi kurang tegas,negatif
8,sekti tv,"Yg positif corona yg sakit corona mereka disendirikan di pulau pulau khusus corona ,se indonesia kalau sakit corona langsung dibawa ditaruh di pulau itu sehingga, dengan demikian virus sulit menular ke orang",positif corona sakit corona sendiri pulau pulau khusus corona indonesia sakit corona langsung bawa taruh pulau sehingga demikian virus sulit tular orang,netral
9,Choiriyah official,"Nasib gue gimana kalo kaga reda "" nih virus  kaga kerja kaga makan gue",nasib gimana tidak reda virus tidak kerja tidak makan,negatif
10,Tanto Son,Strategi yang GAGAL,strategi gagal,negatif
11,168 Always,Biaya pengobatan Corona di seluruh Indonesia apakah gratis? Karena di YouTube ada beberapa komentar saya lihat katanya bayar ruang isolasi sendiri dll?,biaya obat corona seluruh indonesia gratis youtube ada beberapa komentar lihat kata bayar ruang isolasi sendiri,netral
12,Srg MV,"Saya harap pemerintah menutup tempat seperti mall , tol, pelabuhan .",harap pemerintah tutup tempat seperti mall tol labuh,positif
13,Srg MV,ayo dong rakyat indonesia kerja sama dengan pemerintah biar cepat selesai ini covid,rakyat indonesia kerja sama pemerintah biar cepat selesai covid,positif
14,Hudi Prayetno,ma'ruf amin mana..?? kok gak nampak turun di lapangan gak kyak jusuf kalla dulu klo ada bencana langsung turun ke lapangan memberikan arahan dan bantuan. h,maruf mana tidak lihat turun lapang tidak seperti jusuf kalla dulu ada bencana langsung turun lapang beri arah bantu,negatif
15,Dipo Sakti,"Tolong yang terkait
Stop turis asing dari China dan memulangkan turis asing dari China yang sudah terlanjur memasuki Indonesia demi keamanan nasional NKRI",tolong kait henti turis asing cina pulang turis asing cina sudah lanjur pasuk indonesia demi aman nasional negara satu republik indonesia,positif
16,Misbah Muhammd,gue  gak percaya sama virus corona hahaha,tidak percaya sama virus corona,negatif
17,Ucok tato Ucok,"Promosikan aja terus priwisata kasih diskon besar2 , biar masuk semua virus ke indo",promosi pariwisata kasih diskon besar biar masuk semua virus indonesia,negatif
18,Irna Wansasi,"Maaf nak tanya , wakil presiden kita mna ya , kok tak pernah nampak pun",ingin tanya wakil presiden mana tidak pernah lihat,netral
19,Lutfi Mugiwara,semoga gak ada yg jadi kan film penghuni wisma atlit,moga tidak ada jadi film huni wisma atlit,netral
20,Bambang Sutedjo,"Seharusnya untuk mengatasi  penularan CoVID 19 CORONA marilah kita menggunakan pikiran LOGIKA NYATA lebih dulu dan menomor duakan  pikiran RELiGIUS kemudian , agar supaya penanganan  menghindari penularan virus Corona bisa berjalan EFEKTIF lebih cepat, ",harus atas tular covid corona mari guna pikir logika nyata lebih dulu nomor dua pikir religius kemudian supaya tangan hindar tular virus corona bisa jalan efektif lebih cepat,positif
